Comunidades;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2020;47.450.795
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2019;47.026.208
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2018;46.722.980
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2017;46.572.132
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2016;46.557.008
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2015;46.624.382
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2014;46.771.341
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2013;47.129.783
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2012;47.265.321
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2011;47.190.493
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2010;47.021.031
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2009;46.745.807
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2008;46.157.822
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2007;45.200.737
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2006;44.708.964
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2005;44.108.530
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2004;43.197.684
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2003;42.717.064
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2002;41.837.894
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2001;41.116.842
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2000;40.499.791
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;1999;40.202.160
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;1998;39.852.651
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2020;23.255.590
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2019;23.042.428
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2018;22.896.602
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2017;22.832.861
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2016;22.843.610
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2015;22.890.383
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2014;22.985.676
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2013;23.196.386
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2012;23.298.356
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2011;23.283.187
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2010;23.226.185
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2009;23.116.988
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2008;22.847.737
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2007;22.339.962
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2006;22.100.466
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2005;21.780.869
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2004;21.285.247
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2003;21.034.326
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2002;20.564.089
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2001;20.165.514
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2000;19.821.384
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;1999;19.670.642
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;1998;19.488.465
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2020;24.195.205
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2019;23.983.780
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2018;23.826.378
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2017;23.739.271
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2016;23.713.398
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2015;23.733.999
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2014;23.785.665
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2013;23.933.397
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2012;23.966.965
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2011;23.907.306
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2010;23.794.846
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2009;23.628.819
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2008;23.310.085
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2007;22.860.775
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2006;22.608.498
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2005;22.327.661
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2004;21.912.437
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2003;21.682.738
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2002;21.273.805
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2001;20.951.328
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2000;20.678.407
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;1999;20.531.518
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;1998;20.364.186
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2020;42.016.642
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2019;41.989.330
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2018;41.988.289
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2017;41.999.325
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2016;41.938.427
