Sexo;Comunidades y provincias;Edad (hasta 100 y más);Total
Ambos sexos;TOTAL ESPAÑA;Total;47.344.649
Ambos sexos;TOTAL ESPAÑA;0-4;1.880.777
Ambos sexos;TOTAL ESPAÑA;5-9;2.273.493
Ambos sexos;TOTAL ESPAÑA;10-14;2.524.232
Ambos sexos;TOTAL ESPAÑA;15-19;2.415.564
Ambos sexos;TOTAL ESPAÑA;20-24;2.380.270
Ambos sexos;TOTAL ESPAÑA;25-29;2.545.984
Ambos sexos;TOTAL ESPAÑA;30-34;2.782.925
Ambos sexos;TOTAL ESPAÑA;35-39;3.247.054
Ambos sexos;TOTAL ESPAÑA;40-44;3.920.413
Ambos sexos;TOTAL ESPAÑA;45-49;3.943.006
Ambos sexos;TOTAL ESPAÑA;50-54;3.696.865
Ambos sexos;TOTAL ESPAÑA;55-59;3.420.849
Ambos sexos;TOTAL ESPAÑA;60-64;3.005.706
Ambos sexos;TOTAL ESPAÑA;65-69;2.479.691
Ambos sexos;TOTAL ESPAÑA;70-74;2.198.966
Ambos sexos;TOTAL ESPAÑA;75-79;1.766.393
Ambos sexos;TOTAL ESPAÑA;80-84;1.293.835
Ambos sexos;TOTAL ESPAÑA;85-89;990.958
Ambos sexos;TOTAL ESPAÑA;90-94;446.735
Ambos sexos;TOTAL ESPAÑA;95-99;112.716
Ambos sexos;TOTAL ESPAÑA;100 y más;18.217
Ambos sexos;ANDALUCÍA;Total;8.465.236
Ambos sexos;ANDALUCÍA;0-4;356.509
Ambos sexos;ANDALUCÍA;5-9;430.400
Ambos sexos;ANDALUCÍA;10-14;490.434
Ambos sexos;ANDALUCÍA;15-19;464.884
Ambos sexos;ANDALUCÍA;20-24;447.370
Ambos sexos;ANDALUCÍA;25-29;475.295
Ambos sexos;ANDALUCÍA;30-34;514.557
Ambos sexos;ANDALUCÍA;35-39;594.280
Ambos sexos;ANDALUCÍA;40-44;696.475
Ambos sexos;ANDALUCÍA;45-49;688.734
Ambos sexos;ANDALUCÍA;50-54;665.016
Ambos sexos;ANDALUCÍA;55-59;617.120
Ambos sexos;ANDALUCÍA;60-64;529.555
Ambos sexos;ANDALUCÍA;65-69;424.140
Ambos sexos;ANDALUCÍA;70-74;359.277
Ambos sexos;ANDALUCÍA;75-79;289.373
Ambos sexos;ANDALUCÍA;80-84;207.137
Ambos sexos;ANDALUCÍA;85-89;142.375
Ambos sexos;ANDALUCÍA;90-94;56.872
Ambos sexos;ANDALUCÍA;95-99;12.658
Ambos sexos;ANDALUCÍA;100 y más;2.775
Ambos sexos;Almería;Total;730.475
Ambos sexos;Almería;0-4;37.053
Ambos sexos;Almería;5-9;40.921
Ambos sexos;Almería;10-14;43.197
Ambos sexos;Almería;15-19;39.419
Ambos sexos;Almería;20-24;40.612
Ambos sexos;Almería;25-29;44.253
Ambos sexos;Almería;30-34;49.945
Ambos sexos;Almería;35-39;56.253
Ambos sexos;Almería;40-44;63.754
Ambos sexos;Almería;45-49;58.954
Ambos sexos;Almería;50-54;54.212
Ambos sexos;Almería;55-59;48.605
Ambos sexos;Almería;60-64;42.183
Ambos sexos;Almería;65-69;33.612
Ambos sexos;Almería;70-74;28.024
Ambos sexos;Almería;75-79;19.942
Ambos sexos;Almería;80-84;14.363
Ambos sexos;Almería;85-89;9.975
Ambos sexos;Almería;90-94;4.028
Ambos sexos;Almería;95-99;967
Ambos sexos;Almería;100 y más;203
Ambos sexos;Cádiz;Total;1.245.718
Ambos sexos;Cádiz;0-4;51.224
Ambos sexos;Cádiz;5-9;63.047
Ambos sexos;Cádiz;10-14;74.267
Ambos sexos;Cádiz;15-19;71.099
Ambos sexos;Cádiz;20-24;64.550
Ambos sexos;Cádiz;25-29;66.672
Ambos sexos;Cádiz;30-34;74.455
Ambos sexos;Cádiz;35-39;87.035
Ambos sexos;Cádiz;40-44;103.144
Ambos sexos;Cádiz;45-49;103.171
Ambos sexos;Cádiz;50-54;100.579
Ambos sexos;Cádiz;55-59;91.673
Ambos sexos;Cádiz;60-64;80.316
Ambos sexos;Cádiz;65-69;64.276
Ambos sexos;Cádiz;70-74;53.042
Ambos sexos;Cádiz;75-79;41.629
Ambos sexos;Cádiz;80-84;28.489
Ambos sexos;Cádiz;85-89;18.543
Ambos sexos;Cádiz;90-94;6.764
Ambos sexos;Cádiz;95-99;1.478
Ambos sexos;Cádiz;100 y más;265
Ambos sexos;Córdoba;Total;776.282
Ambos sexos;Córdoba;0-4;30.694
Ambos sexos;Córdoba;5-9;36.723
Ambos sexos;Córdoba;10-14;41.847
Ambos sexos;Córdoba;15-19;41.557
Ambos sexos;Córdoba;20-24;41.606
Ambos sexos;Córdoba;25-29;43.951
Ambos sexos;Córdoba;30-34;46.078
Ambos sexos;Córdoba;35-39;50.083
Ambos sexos;Córdoba;40-44;57.930
Ambos sexos;Córdoba;45-49;58.359
Ambos sexos;Córdoba;50-54;61.019
Ambos sexos;Córdoba;55-59;60.166
Ambos sexos;Córdoba;60-64;52.295
Ambos sexos;Córdoba;65-69;40.905
Ambos sexos;Córdoba;70-74;33.690
Ambos sexos;Córdoba;75-79;29.441
Ambos sexos;Córdoba;80-84;22.649
Ambos sexos;Córdoba;85-89;17.511
Ambos sexos;Córdoba;90-94;7.724
Ambos sexos;Córdoba;95-99;1.769
Ambos sexos;Córdoba;100 y más;285
Ambos sexos;Granada;Total;920.852
Ambos sexos;Granada;0-4;37.471
Ambos sexos;Granada;5-9;44.368
Ambos sexos;Granada;10-14;51.259
Ambos sexos;Granada;15-19;50.132
Ambos sexos;Granada;20-24;50.305
Ambos sexos;Granada;25-29;53.917
Ambos sexos;Granada;30-34;56.936
Ambos sexos;Granada;35-39;63.050
Ambos sexos;Granada;40-44;72.889
Ambos sexos;Granada;45-49;71.844
Ambos sexos;Granada;50-54;71.792
Ambos sexos;Granada;55-59;68.831
Ambos sexos;Granada;60-64;59.813
Ambos sexos;Granada;65-69;46.369
Ambos sexos;Granada;70-74;39.359
Ambos sexos;Granada;75-79;31.902
Ambos sexos;Granada;80-84;24.032
Ambos sexos;Granada;85-89;17.686
Ambos sexos;Granada;90-94;7.041
Ambos sexos;Granada;95-99;1.562
Ambos sexos;Granada;100 y más;294
Ambos sexos;Huelva;Total;524.613
