Dia;Hospital(uno de los 34 de CV);Sexo;Rango de edad (0 a 9, 10 a 19, 20 a 29…70 a 79, >=80);Numero de ingresos hospital en el dia;Numero de altas hospital en el dia;Numero de camas ocupadas ese dia en el hospital;Numero de ingresos UCI en el dia;Numero de altas UCI en el dia;Numero de camas UCI ocupadas ese dia;Numero de fallecidos ese dia;;Cada fila representa un DIA, un Hospital, y un grupo de pacientes que comparten genero y rango de eda
2020-03-01;Vinarós;H;0-9;0;0;0;0;0;0;0;;
2020-03-01;Vinarós;H;10-19;0;0;1;0;0;0;0;;
2020-03-01;Vinarós;H;20-29;0;0;1;0;0;0;0;;
2020-03-01;Vinarós;H;30-39;0;0;2;0;0;0;0;;
2020-03-01;Vinarós;H;40-49;0;0;3;0;0;0;0;;
2020-03-01;Vinarós;H;50-59;0;0;3;0;0;1;0;;
2020-03-01;Vinarós;H;60-69;1;0;2;1;0;0;0;;
2020-03-01;Vinarós;H;70-79;3;0;6;1;0;0;0;;
2020-03-01;Vinarós;H;80+;4;0;10;0;0;1;2;;
2020-03-01;Vinarós;M;0-9;0;0;0;0;0;0;0;;
2020-03-01;Vinarós;M;10-19;0;0;0;0;0;0;0;;
2020-03-01;Vinarós;M;20-29;0;0;0;0;0;0;0;;
2020-03-01;Vinarós;M;30-39;0;0;0;0;0;0;0;;
2020-03-01;Vinarós;M;40-49;0;0;1;0;0;0;0;;
2020-03-01;Vinarós;M;50-59;0;0;1;0;0;0;1;;
2020-03-01;Vinarós;M;60-69;1;0;2;1;0;1;0;;
2020-03-01;Vinarós;M;70-79;1;0;2;0;0;0;0;;
2020-03-01;Vinarós;M;80+;2;0;3;0;0;0;0;;
2020-03-01;Castellón;H;0-9;0;0;0;0;0;0;0;;
…;…;…;…;…;…;…;…;…;…;…;;
