Fecha;Unidad;COD_CCAA;CCAA;Cod_Provincia;Provincia;TOTAL_CAMAS;OCUPADAS_COVID19;OCUPADAS_NO_COVID19
19/08/2020;Hospitalización convencional;1;ANDALUCÍA;14;Córdoba;1552;26;829
19/08/2020;Hospitalización convencional;3;ASTURIAS;33;Asturias;3030;19;1938
19/08/2020;U. Críticas CON respirador;4;ISLAS BALEARES;7;Balears, Illes;224;22;70
19/08/2020;U. Críticas CON respirador;8;CASTILLA LA MANCHA;16;Cuenca;30;1;7
19/08/2020;U. Críticas CON respirador;16;PAÍS VASCO;1;Araba/Álava;45;6;18
19/08/2020;U. Críticas SIN respirador;8;CASTILLA LA MANCHA;45;Toledo;20;0;10
19/08/2020;U. Críticas SIN respirador;9;CATALUÑA;8;Barcelona;183;18;98
19/08/2020;U. Críticas SIN respirador;9;CATALUÑA;17;Girona;0;0;0
20/08/2020;Hospitalización convencional;11;EXTREMADURA;10;Cáceres;956;10;515
20/08/2020;Hospitalización convencional;16;PAÍS VASCO;20;Gipuzkoa;1234;40;868
20/08/2020;U. Críticas CON respirador;9;CATALUÑA;43;Tarragona;93;11;19
20/08/2020;U. Críticas CON respirador;11;EXTREMADURA;6;Badajoz;123;3;34
20/08/2020;U. Críticas CON respirador;11;EXTREMADURA;10;Cáceres;45;3;19
20/08/2020;U. Críticas SIN respirador;1;ANDALUCÍA;41;Sevilla;101;0;47
20/08/2020;U. Críticas SIN respirador;7;CASTILLA Y LEÓN;9;Burgos;4;0;1
20/08/2020;U. Críticas SIN respirador;7;CASTILLA Y LEÓN;40;Segovia;4;0;0
21/08/2020;Hospitalización convencional;3;ASTURIAS;33;Asturias;3030;11;1780
21/08/2020;Hospitalización convencional;5;ISLAS CANARIAS;38;Santa Cruz de Tenerife;2559;32;1685
21/08/2020;Hospitalización convencional;7;CASTILLA Y LEÓN;47;Valladolid;940;62;523
21/08/2020;Hospitalización convencional;16;PAÍS VASCO;1;Araba/Álava;514;60;319
21/08/2020;Hospitalización convencional;16;PAÍS VASCO;48;Bizkaia;1946;193;1204
21/08/2020;U. Críticas CON respirador;13;MADRID;28;Madrid;905;153;342
21/08/2020;U. Críticas SIN respirador;2;ARAGÓN;50;Zaragoza;15;0;6
22/08/2020;U. Críticas CON respirador;5;ISLAS CANARIAS;35;Palmas, Las;213;13;69
22/08/2020;U. Críticas CON respirador;7;CASTILLA Y LEÓN;24;León;65;1;32
22/08/2020;U. Críticas CON respirador;10;COMUNIDAD VALENCIANA;12;Castellón/Castelló;69;3;27
22/08/2020;U. Críticas SIN respirador;10;COMUNIDAD VALENCIANA;3;Alicante/Alacant;76;1;13
23/08/2020;Hospitalización convencional;7;CASTILLA Y LEÓN;34;Palencia;327;7;246
23/08/2020;Hospitalización convencional;8;CASTILLA LA MANCHA;16;Cuenca;372;6;167
23/08/2020;Hospitalización convencional;12;GALICIA;15;Coruña, A;3171;60;1935
23/08/2020;Hospitalización convencional;16;PAÍS VASCO;1;Araba/Álava;520;65;332
23/08/2020;Hospitalización convencional;19;MELILLA;52;Melilla;165;8;70
23/08/2020;U. Críticas CON respirador;1;ANDALUCÍA;18;Granada;132;1;41
23/08/2020;U. Críticas SIN respirador;2;ARAGÓN;50;Zaragoza;15;0;7
23/08/2020;U. Críticas SIN respirador;6;CANTABRIA;39;Cantabria;26;0;7
24/08/2020;Hospitalización convencional;1;ANDALUCÍA;4;Almería;1303;75;597
24/08/2020;Hospitalización convencional;8;CASTILLA LA MANCHA;2;Albacete;839;32;497
24/08/2020;Hospitalización convencional;18;CEUTA;51;Ceuta;154;1;46
24/08/2020;U. Críticas CON respirador;2;ARAGÓN;50;Zaragoza;135;57;55
24/08/2020;U. Críticas CON respirador;12;GALICIA;27;Lugo;75;2;14
24/08/2020;U. Críticas SIN respirador;1;ANDALUCÍA;14;Córdoba;81;0;4
24/08/2020;U. Críticas SIN respirador;1;ANDALUCÍA;29;Málaga;117;3;6
