hospital;camas_totales;camas_UCI
Vinarós;171;17,1
Castellón;519;51,9
La Plana;258;25,8
Sagunt;236;23,6
Valencia Clinic - La Malva - Rosa;615;61,5
Valencia Arnau de Vilanoca Lliria;378;37,8
Valencia La Fe;1.004;100,4
Requena;90;9
Valencia-Hospital General;500;50
Valencia-Dr.Peset;506;50,6
La Ribera;364;36,4
Gandía;315;31,5
Denia;266;26,6
Xativa - Ontinyent;56;5,6
Alcoy;240;24
Marina Baixa;287;28,7
S. Joan d´Alacant;270;27
Elda;370;37
Alacant - H. General;376;37,6
Elx - Hospital General;776;77,6
Orihuela;408;40,8
Torrevieja;336;33,6
Manises;277;27,7
Elx - Crevillent;348;34,8
La Pedrera;230;23
Doctor Moliner;251;25,1
