CCN;CODCNH;Nombre Centro;Tipo Vía;Nombre Vía;Número Vía;Teléfono Principal;Cód. Municipio;Municipio;Cód. Provincia;Provincia;Cód. CCAA;CCAA;Código Postal;CAMAS;Cód. Clase de Centro;Clase de Centro;Cód. Dep. Funcional;Dependencia Funcional;Forma parte Complejo;CODIDCOM;Nombre del Complejo;ALTA;Email
1601000005;010066;HOSPITAL DE  CUIDADOS SAN ONOFRE SL;Calle;Salvatierrabide;9;674342402;010590;Vitoria-Gasteiz;01;Araba/Álava;16;País Vasco;01007;82;C13;Hospitales de media y larga estancia;20;Privados;N;;;N;
1601000006;010088;HOSPITAL DE LEZA;Carretera;Vitoria-Logroño Km. 59 ( Er/Cr );S/N;945006900;010318;Laguardia;01;Araba/Álava;16;País Vasco;01309;63;C13;Hospitales de media y larga estancia;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
1601000004;010053;HOSPITAL QUIRONSALUD VITORIA;Calle;Esperanza (La);3;945252500;010590;Vitoria-Gasteiz;01;Araba/Álava;16;País Vasco;01002;26;C11;Hospitales Generales;20;Privados;N;;;N;
0111002394;110282;HOSPITAL QUIRON CAMPO DE GIBRALTAR;Calle;Arttysur  - P. E. T. Las Marismas De Palmones;S/N;956798301;110086;Barrios, Los;11;Cádiz;01;Andalucía;11379;64;C11;Hospitales Generales;20;Privados;N;;;N;
0114000529;140116;HOSPITAL INFANTA MARGARITA;Avenida;Gongora;S/N;957021300;140137;Cabra;14;Córdoba;01;Andalucía;14940;232;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0114000537;140076;HOSPITAL CRUZ ROJA DE CORDOBA;Paseo;De La Victoria;S/N;957420666;140214;Córdoba;14;Córdoba;01;Andalucía;14004;138;C11;Hospitales Generales;20;Privados;N;;;N;
0114000873;140195;HOSPITAL DE MONTILLA;Carretera;Ctra. Montoro-Puente Genil, Km. 65,350;S/N;957022600;140425;Montilla;14;Córdoba;01;Andalucía;14550;92;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0114001301;140218;HOSPITAL DE ALTA RESOLUCION  DE PUENTE GENIL;Calle;Burgos;S/N;957615000;140569;Puente Genil;14;Córdoba;01;Andalucía;14500;24;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0114001599;140229;HOSPITAL DE ALTA RESOLUCION VALLE DEL GUADIATO;Calle;Paraje Cerro Del Camello;S/N;957579100;140522;Peñarroya-Pueblonuevo;14;Córdoba;01;Andalucía;14200;17;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0118000554;180093;HOSPITAL DE BAZA;Carretera;Murcia, Km. 1,6;S/N;958031303;180233;Baza;18;Granada;01;Andalucía;18800;117;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0802000048;020061;CLINICA SANTA CRISTINA ALBACETE;Calle;Perez Galdos;7-9;967223300;020030;Albacete;02;Albacete;08;Castilla - La Mancha;02003;42;C11;Hospitales Generales;20;Privados;N;;;N;
0802000003;020096;HOSPITAL DE HELLIN;Calle;Juan Ramon Jimenez;40;967309500;020371;Hellín;02;Albacete;08;Castilla - La Mancha;02400;135;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0802000031;020100;HOSPITAL QUIRONSALUD  ALBACETE;Plaza;Del Madroño;11;967247100;020030;Albacete;02;Albacete;08;Castilla - La Mancha;02008;65;C11;Hospitales Generales;20;Privados;N;;;N;
0802000755;020136;HOSPITAL GENERAL DE ALMANSA;Avenida;Adolfo Suarez;S/N;967339526;020096;Almansa;02;Albacete;08;Castilla - La Mancha;02640;93;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0802000780;020147;HOSPITAL GENERAL DE VILLARROBLEDO;Avenida;Miguel De Cervantes C/V Ctra. Provencio;KM. 0,3;967133000;020812;Villarrobledo;02;Albacete;08;Castilla - La Mancha;02600;114;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0118004203;180133;HOSPITAL DE ALTA RESOLUCION DE LOJA;Avenida;Tierno Galvan;S/N;958338100;181226;Loja;18;Granada;01;Andalucía;18300;22;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
1003000161;030211;HOSPITAL VEGA BAJA DE ORIHUELA;Carretera;Orihuela - Almoradi;S/N;966749000;030993;Orihuela;03;Alicante/Alacant;10;Comunitat Valenciana;03314;361;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0123000214;230098;HOSPITAL SAN JUAN DE LA CRUZ;Carretera;De Linares;S/N;953028200;230927;Úbeda;23;Jaén;01;Andalucía;23400;231;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0123000215;230063;CLINICA CRISTO REY;Paseo;La Estacion;40;953250440;230503;Jaén;23;Jaén;01;Andalucía;23008;39;C190;Otros Centros con Internamiento;20;Privados;N;;;N;
0129001082;290108;HOSPITAL DR. GALVEZ;Calle;San Agustin;1;952224295;290672;Málaga;29;Málaga;01;Andalucía;29015;62;C11;Hospitales Generales;20;Privados;N;;;N;
0129001085;290075;CENTRO ASISTENCIAL HNAS. HOSPITALARIAS DEL  SAGRADO CORAZON DE JESUS;Calle;San Juan Bosco;41;952256150;290672;Málaga;29;Málaga;01;Andalucía;29014;321;C14;Hospitales de salud mental y tratamiento de toxicomanías;20;Privados;N;;;N;
0129001929;290393;FUNDACION CUDECA. CENTRO DE CUIDADOS PALIATIVOS;Avenida;Del Cosmos;S/N;952564910;290252;Benalmádena;29;Málaga;01;Andalucía;29631;15;C12;Hospitales especializados;20;Privados;N;;;N;
0129002204;290427;HOSPITAL DE ALTA RESOLUCION DE BENALMADENA;Avenida;Arroyo Hondo;S/N;951976000;290252;Benalmádena;29;Málaga;01;Andalucía;29630;46;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
