CCAA,Fecha,OCUPADAS_COVID19
ANDALUCÍA,2020-08-19,343
ANDALUCÍA,2020-08-20,340
ANDALUCÍA,2020-08-21,369
ANDALUCÍA,2020-08-22,361
ANDALUCÍA,2020-08-23,387
ANDALUCÍA,2020-08-24,420
ANDALUCÍA,2020-08-25,469
ANDALUCÍA,2020-08-26,521
ANDALUCÍA,2020-08-27,542
ANDALUCÍA,2020-08-28,527
ANDALUCÍA,2020-08-29,538
ANDALUCÍA,2020-08-30,595
ANDALUCÍA,2020-08-31,630
ANDALUCÍA,2020-09-01,679
ANDALUCÍA,2020-09-02,712
ANDALUCÍA,2020-09-03,743
ANDALUCÍA,2020-09-04,722
ANDALUCÍA,2020-09-05,731
ANDALUCÍA,2020-09-06,805
ANDALUCÍA,2020-09-07,892
ANDALUCÍA,2020-09-08,899
ANDALUCÍA,2020-09-09,936
ANDALUCÍA,2020-09-10,965
ANDALUCÍA,2020-09-11,952
ANDALUCÍA,2020-09-12,969
ANDALUCÍA,2020-09-13,1103
ANDALUCÍA,2020-09-14,1095
ANDALUCÍA,2020-09-15,1098
ANDALUCÍA,2020-09-16,1098
ANDALUCÍA,2020-09-17,1099
ANDALUCÍA,2020-09-18,1094
ANDALUCÍA,2020-09-19,1136
ANDALUCÍA,2020-09-20,1138
ANDALUCÍA,2020-09-21,1139
ANDALUCÍA,2020-09-22,1128
ANDALUCÍA,2020-09-23,1157
ANDALUCÍA,2020-09-24,1261
ANDALUCÍA,2020-09-25,1203
ANDALUCÍA,2020-09-26,1224
ANDALUCÍA,2020-09-27,1281
ANDALUCÍA,2020-09-28,1269
ANDALUCÍA,2020-09-29,1232
ANDALUCÍA,2020-09-30,1180
ANDALUCÍA,2020-10-01,1171
ANDALUCÍA,2020-10-02,1570
ANDALUCÍA,2020-10-03,1169
ANDALUCÍA,2020-10-04,1240
ANDALUCÍA,2020-10-05,1233
ANDALUCÍA,2020-10-06,1192
ANDALUCÍA,2020-10-07,1166
ANDALUCÍA,2020-10-08,1192
ANDALUCÍA,2020-10-09,1191
ANDALUCÍA,2020-10-10,1227
ANDALUCÍA,2020-10-11,1282
ANDALUCÍA,2020-10-12,1411
ANDALUCÍA,2020-10-13,1415
ANDALUCÍA,2020-10-14,1458
ANDALUCÍA,2020-10-15,1508
ANDALUCÍA,2020-10-16,1468
ANDALUCÍA,2020-10-17,1473
ANDALUCÍA,2020-10-18,1664
ANDALUCÍA,2020-10-19,1744
ANDALUCÍA,2020-10-20,1827
ANDALUCÍA,2020-10-21,1899
ANDALUCÍA,2020-10-22,2026
ANDALUCÍA,2020-10-23,2020
ANDALUCÍA,2020-10-24,2111
ANDALUCÍA,2020-10-25,2279
ANDALUCÍA,2020-10-26,2366
ANDALUCÍA,2020-10-27,2424
ANDALUCÍA,2020-10-28,2543
ANDALUCÍA,2020-10-29,2582
ANDALUCÍA,2020-10-30,2656
ANDALUCÍA,2020-10-31,2698
ANDALUCÍA,2020-11-01,2818
ANDALUCÍA,2020-11-02,3184
ANDALUCÍA,2020-11-03,3226
ANDALUCÍA,2020-11-04,3281
ANDALUCÍA,2020-11-05,3274
ANDALUCÍA,2020-11-06,3180
ANDALUCÍA,2020-11-07,3267
ANDALUCÍA,2020-11-08,3523
ANDALUCÍA,2020-11-09,3517
ANDALUCÍA,2020-11-10,3477
