CCAA,Fecha,PORCENTAJE_CAMAS_TOTALES_OCUPADAS
ANDALUCÍA,2020-08-19,54.77
ANDALUCÍA,2020-08-20,57.01
ANDALUCÍA,2020-08-21,52.67
ANDALUCÍA,2020-08-22,52.93
ANDALUCÍA,2020-08-23,55.02
ANDALUCÍA,2020-08-24,58.33
ANDALUCÍA,2020-08-25,58.89
ANDALUCÍA,2020-08-26,59.11
ANDALUCÍA,2020-08-27,57.95
ANDALUCÍA,2020-08-28,54.27
ANDALUCÍA,2020-08-29,55.34
ANDALUCÍA,2020-08-30,58.88
ANDALUCÍA,2020-08-31,59.23
ANDALUCÍA,2020-09-01,60.07
ANDALUCÍA,2020-09-02,61.15
ANDALUCÍA,2020-09-03,60.12
ANDALUCÍA,2020-09-04,57.35
ANDALUCÍA,2020-09-05,57.27
ANDALUCÍA,2020-09-06,59.95
ANDALUCÍA,2020-09-07,61.73
ANDALUCÍA,2020-09-08,61.02
ANDALUCÍA,2020-09-09,64.21
ANDALUCÍA,2020-09-10,63.51
ANDALUCÍA,2020-09-11,59.3
ANDALUCÍA,2020-09-12,59.31
ANDALUCÍA,2020-09-13,61.32
ANDALUCÍA,2020-09-14,62.52
ANDALUCÍA,2020-09-15,64.87
ANDALUCÍA,2020-09-16,66.01
ANDALUCÍA,2020-09-17,65.77
ANDALUCÍA,2020-09-18,61.59
ANDALUCÍA,2020-09-19,61.33
ANDALUCÍA,2020-09-20,62.45
ANDALUCÍA,2020-09-21,64.5
ANDALUCÍA,2020-09-22,65.06
ANDALUCÍA,2020-09-23,65.95
ANDALUCÍA,2020-09-24,66.69
ANDALUCÍA,2020-09-25,62.5
ANDALUCÍA,2020-09-26,61.61
ANDALUCÍA,2020-09-27,62.47
ANDALUCÍA,2020-09-28,64.36
ANDALUCÍA,2020-09-29,66.55
ANDALUCÍA,2020-09-30,65.54
ANDALUCÍA,2020-10-01,66.69
ANDALUCÍA,2020-10-02,62.57
ANDALUCÍA,2020-10-03,60.03
ANDALUCÍA,2020-10-04,64.16
ANDALUCÍA,2020-10-05,66.94
ANDALUCÍA,2020-10-06,67.56
ANDALUCÍA,2020-10-07,66.11
ANDALUCÍA,2020-10-08,67.24
ANDALUCÍA,2020-10-09,62.21
ANDALUCÍA,2020-10-10,61.44
ANDALUCÍA,2020-10-11,61.48
ANDALUCÍA,2020-10-12,60.68
ANDALUCÍA,2020-10-13,68.33
ANDALUCÍA,2020-10-14,69.72
ANDALUCÍA,2020-10-15,69.94
ANDALUCÍA,2020-10-16,63.05
ANDALUCÍA,2020-10-17,62.32
ANDALUCÍA,2020-10-18,66.65
ANDALUCÍA,2020-10-19,68.35
ANDALUCÍA,2020-10-20,70.9
ANDALUCÍA,2020-10-21,69.12
ANDALUCÍA,2020-10-22,70.12
ANDALUCÍA,2020-10-23,65.97
ANDALUCÍA,2020-10-24,66.36
ANDALUCÍA,2020-10-25,68.06
ANDALUCÍA,2020-10-26,70.76
ANDALUCÍA,2020-10-27,71.2
ANDALUCÍA,2020-10-28,71.86
ANDALUCÍA,2020-10-29,69.33
ANDALUCÍA,2020-10-30,65.17
ANDALUCÍA,2020-10-31,64.51
ANDALUCÍA,2020-11-01,66.04
ANDALUCÍA,2020-11-02,69.58
ANDALUCÍA,2020-11-03,72.68
ANDALUCÍA,2020-11-04,72.87
ANDALUCÍA,2020-11-05,72.7
ANDALUCÍA,2020-11-06,67.8
ANDALUCÍA,2020-11-07,68.73
ANDALUCÍA,2020-11-08,70.25
ANDALUCÍA,2020-11-09,73.11
ANDALUCÍA,2020-11-10,73.05
ANDALUCÍA,2020-11-11,72.37
ANDALUCÍA,2020-11-12,71.49
ANDALUCÍA,2020-11-13,66.83
ANDALUCÍA,2020-11-14,66.52
ANDALUCÍA,2020-11-15,68.5
ANDALUCÍA,2020-11-16,69.73
ANDALUCÍA,2020-11-17,70.37
ANDALUCÍA,2020-11-18,70.36
ANDALUCÍA,2020-11-19,68.8
ANDALUCÍA,2020-11-20,65.21
ANDALUCÍA,2020-11-21,64.08
ANDALUCÍA,2020-11-22,65.5
ANDALUCÍA,2020-11-23,67.13
ANDALUCÍA,2020-11-24,66.87
ANDALUCÍA,2020-11-25,65.41
ANDALUCÍA,2020-11-26,66.32
ANDALUCÍA,2020-11-27,62.16
ANDALUCÍA,2020-11-28,61.52
ANDALUCÍA,2020-11-29,63.9
ANDALUCÍA,2020-11-30,63.91
ANDALUCÍA,2020-12-01,66.24
ANDALUCÍA,2020-12-02,66.72
ANDALUCÍA,2020-12-03,66.05
ANDALUCÍA,2020-12-04,59.86
ANDALUCÍA,2020-12-05,59.23
ANDALUCÍA,2020-12-06,58.99
ANDALUCÍA,2020-12-07,57.49
ANDALUCÍA,2020-12-08,61.64
ANDALUCÍA,2020-12-09,64.96
ANDALUCÍA,2020-12-10,66.25
ANDALUCÍA,2020-12-11,62.24
ANDALUCÍA,2020-12-12,62.58
ANDALUCÍA,2020-12-13,63.9
ANDALUCÍA,2020-12-14,66.34
ANDALUCÍA,2020-12-15,67.28
ANDALUCÍA,2020-12-16,67.37
ANDALUCÍA,2020-12-17,65.69
ANDALUCÍA,2020-12-18,61.19
ANDALUCÍA,2020-12-19,59.27
