CCAA,Fecha,PORCENTAJE_COVID
ANDALUCÍA,2020-08-19,2.12
ANDALUCÍA,2020-08-20,2.08
ANDALUCÍA,2020-08-21,2.26
ANDALUCÍA,2020-08-22,2.21
ANDALUCÍA,2020-08-23,2.33
ANDALUCÍA,2020-08-24,2.56
ANDALUCÍA,2020-08-25,2.86
ANDALUCÍA,2020-08-26,3.18
ANDALUCÍA,2020-08-27,3.31
ANDALUCÍA,2020-08-28,3.21
ANDALUCÍA,2020-08-29,3.28
ANDALUCÍA,2020-08-30,3.63
ANDALUCÍA,2020-08-31,3.84
ANDALUCÍA,2020-09-01,4.14
ANDALUCÍA,2020-09-02,4.33
ANDALUCÍA,2020-09-03,4.52
ANDALUCÍA,2020-09-04,4.39
ANDALUCÍA,2020-09-05,4.45
ANDALUCÍA,2020-09-06,4.97
ANDALUCÍA,2020-09-07,5.41
ANDALUCÍA,2020-09-08,5.44
ANDALUCÍA,2020-09-09,5.67
ANDALUCÍA,2020-09-10,5.84
ANDALUCÍA,2020-09-11,5.76
ANDALUCÍA,2020-09-12,5.88
ANDALUCÍA,2020-09-13,6.7
ANDALUCÍA,2020-09-14,6.62
ANDALUCÍA,2020-09-15,6.62
ANDALUCÍA,2020-09-16,6.61
ANDALUCÍA,2020-09-17,6.6
ANDALUCÍA,2020-09-18,6.58
ANDALUCÍA,2020-09-19,6.84
ANDALUCÍA,2020-09-20,6.84
ANDALUCÍA,2020-09-21,6.85
ANDALUCÍA,2020-09-22,6.78
ANDALUCÍA,2020-09-23,6.96
ANDALUCÍA,2020-09-24,7.6
ANDALUCÍA,2020-09-25,7.22
ANDALUCÍA,2020-09-26,7.35
ANDALUCÍA,2020-09-27,7.69
ANDALUCÍA,2020-09-28,7.63
ANDALUCÍA,2020-09-29,7.43
ANDALUCÍA,2020-09-30,7.12
ANDALUCÍA,2020-10-01,7.06
ANDALUCÍA,2020-10-02,9.5
ANDALUCÍA,2020-10-03,6.85
ANDALUCÍA,2020-10-04,7.48
ANDALUCÍA,2020-10-05,7.44
ANDALUCÍA,2020-10-06,7.2
ANDALUCÍA,2020-10-07,7.05
ANDALUCÍA,2020-10-08,7.2
ANDALUCÍA,2020-10-09,7.19
ANDALUCÍA,2020-10-10,7.41
ANDALUCÍA,2020-10-11,7.75
ANDALUCÍA,2020-10-12,8.49
ANDALUCÍA,2020-10-13,8.52
ANDALUCÍA,2020-10-14,8.76
ANDALUCÍA,2020-10-15,9.06
ANDALUCÍA,2020-10-16,8.86
ANDALUCÍA,2020-10-17,8.88
ANDALUCÍA,2020-10-18,10.0
ANDALUCÍA,2020-10-19,10.48
ANDALUCÍA,2020-10-20,10.98
ANDALUCÍA,2020-10-21,11.43
ANDALUCÍA,2020-10-22,12.15
ANDALUCÍA,2020-10-23,12.19
ANDALUCÍA,2020-10-24,12.81
ANDALUCÍA,2020-10-25,13.83
ANDALUCÍA,2020-10-26,14.23
ANDALUCÍA,2020-10-27,14.61
ANDALUCÍA,2020-10-28,15.27
ANDALUCÍA,2020-10-29,15.45
ANDALUCÍA,2020-10-30,15.88
ANDALUCÍA,2020-10-31,16.13
ANDALUCÍA,2020-11-01,16.82
ANDALUCÍA,2020-11-02,19.03
ANDALUCÍA,2020-11-03,19.24
ANDALUCÍA,2020-11-04,19.52
ANDALUCÍA,2020-11-05,19.5
ANDALUCÍA,2020-11-06,18.87
ANDALUCÍA,2020-11-07,19.5
ANDALUCÍA,2020-11-08,21.0
ANDALUCÍA,2020-11-09,20.95
ANDALUCÍA,2020-11-10,20.67
ANDALUCÍA,2020-11-11,20.39
ANDALUCÍA,2020-11-12,19.97
ANDALUCÍA,2020-11-13,19.19
ANDALUCÍA,2020-11-14,19.35
ANDALUCÍA,2020-11-15,20.09
ANDALUCÍA,2020-11-16,19.69
ANDALUCÍA,2020-11-17,18.65
ANDALUCÍA,2020-11-18,18.31
ANDALUCÍA,2020-11-19,17.48
ANDALUCÍA,2020-11-20,16.22
ANDALUCÍA,2020-11-21,16.43
ANDALUCÍA,2020-11-22,16.54
ANDALUCÍA,2020-11-23,16.1
ANDALUCÍA,2020-11-24,15.35
ANDALUCÍA,2020-11-25,14.38
ANDALUCÍA,2020-11-26,13.56
ANDALUCÍA,2020-11-27,12.52
ANDALUCÍA,2020-11-28,12.51
ANDALUCÍA,2020-11-29,12.58
ANDALUCÍA,2020-11-30,11.95
ANDALUCÍA,2020-12-01,11.6
ANDALUCÍA,2020-12-02,10.97
ANDALUCÍA,2020-12-03,10.32
ANDALUCÍA,2020-12-04,9.3
ANDALUCÍA,2020-12-05,9.26
