Cod_Provincia,Fecha,OCUPADAS_COVID19
1,2020-08-19,71
1,2020-08-20,68
1,2020-08-21,69
1,2020-08-22,69
1,2020-08-23,77
1,2020-08-24,76
1,2020-08-25,72
1,2020-08-26,69
1,2020-08-27,73
1,2020-08-28,74
1,2020-08-29,75
1,2020-08-30,76
1,2020-08-31,86
1,2020-09-01,89
1,2020-09-02,92
1,2020-09-03,101
1,2020-09-04,101
1,2020-09-05,101
1,2020-09-06,94
1,2020-09-07,85
1,2020-09-08,78
1,2020-09-09,82
1,2020-09-10,82
1,2020-09-11,68
1,2020-09-12,68
1,2020-09-13,78
1,2020-09-14,79
1,2020-09-15,81
1,2020-09-16,80
1,2020-09-17,73
1,2020-09-18,73
1,2020-09-19,73
1,2020-09-20,79
1,2020-09-21,77
1,2020-09-22,80
1,2020-09-23,80
1,2020-09-24,81
1,2020-09-25,77
1,2020-09-26,77
1,2020-09-27,88
1,2020-09-28,84
1,2020-09-29,81
1,2020-09-30,84
1,2020-10-01,88
1,2020-10-02,86
1,2020-10-03,86
1,2020-10-04,95
1,2020-10-05,100
1,2020-10-06,96
1,2020-10-07,89
1,2020-10-08,87
1,2020-10-09,81
1,2020-10-10,81
1,2020-10-11,81
1,2020-10-12,85
1,2020-10-13,83
1,2020-10-14,81
1,2020-10-15,78
1,2020-10-16,72
1,2020-10-17,72
1,2020-10-18,82
1,2020-10-19,79
1,2020-10-20,85
1,2020-10-21,85
1,2020-10-22,81
1,2020-10-23,81
1,2020-10-24,81
1,2020-10-25,81
1,2020-10-26,90
1,2020-10-27,90
1,2020-10-28,89
1,2020-10-29,87
1,2020-10-30,83
1,2020-10-31,88
1,2020-11-01,95
1,2020-11-02,95
1,2020-11-03,95
1,2020-11-04,96
1,2020-11-05,91
1,2020-11-06,90
1,2020-11-07,90
1,2020-11-08,105
1,2020-11-09,108
1,2020-11-10,108
1,2020-11-11,101
1,2020-11-12,104
1,2020-11-13,99
1,2020-11-14,99
1,2020-11-15,115
1,2020-11-16,113
1,2020-11-17,107
1,2020-11-18,109
1,2020-11-19,110
1,2020-11-20,102
1,2020-11-21,102
1,2020-11-22,105
1,2020-11-23,105
1,2020-11-24,106
1,2020-11-25,107
1,2020-11-26,105
1,2020-11-27,92
1,2020-11-28,92
1,2020-11-29,97
1,2020-11-30,91
1,2020-12-01,85
1,2020-12-02,90
1,2020-12-03,84
1,2020-12-04,87
1,2020-12-05,87
1,2020-12-06,101
1,2020-12-07,98
1,2020-12-08,99
1,2020-12-09,94
1,2020-12-10,102
1,2020-12-11,105
1,2020-12-12,104
1,2020-12-13,107
1,2020-12-14,107
1,2020-12-15,105
1,2020-12-16,110
1,2020-12-17,105
1,2020-12-18,109
1,2020-12-19,109
1,2020-12-20,111
1,2020-12-21,111
1,2020-12-22,109
1,2020-12-23,95
1,2020-12-24,95
1,2020-12-25,95
1,2020-12-26,95
1,2020-12-27,99
1,2020-12-28,86
1,2020-12-29,90
1,2020-12-30,84
1,2020-12-31,76
1,2021-01-01,82
1,2021-01-02,82
1,2021-01-03,87
1,2021-01-04,85
1,2021-01-05,85
1,2021-01-06,82
1,2021-01-07,76
1,2021-01-08,62
1,2021-01-09,62
1,2021-01-10,67
1,2021-01-11,70
1,2021-01-12,66
1,2021-01-13,65
1,2021-01-14,66
1,2021-01-15,69
1,2021-01-16,69
1,2021-01-17,75
1,2021-01-18,91
1,2021-01-19,80
1,2021-01-20,85
1,2021-01-21,85
1,2021-01-22,97
1,2021-01-23,101
1,2021-01-24,106
1,2021-01-25,115
1,2021-01-26,115
1,2021-01-27,112
1,2021-01-28,113
1,2021-01-29,111
1,2021-01-30,111
1,2021-01-31,123
1,2021-02-01,116
1,2021-02-02,125
1,2021-02-03,124
1,2021-02-04,128
1,2021-02-05,125
1,2021-02-06,125
1,2021-02-07,125
1,2021-02-08,132
1,2021-02-09,135
1,2021-02-10,123
1,2021-02-11,117
1,2021-02-12,115
1,2021-02-13,115
1,2021-02-14,125
1,2021-02-15,121
1,2021-02-16,110
1,2021-02-17,101
1,2021-02-18,100
1,2021-02-19,90
1,2021-02-20,90
1,2021-02-21,91
1,2021-02-22,81
1,2021-02-23,78
1,2021-02-24,83
1,2021-02-25,85
1,2021-02-26,80
1,2021-02-27,80
1,2021-02-28,84
1,2021-03-01,82
1,2021-03-02,78
1,2021-03-03,78
1,2021-03-04,78
1,2021-03-05,75
1,2021-03-06,75
1,2021-03-07,81
1,2021-03-08,78
1,2021-03-09,75
1,2021-03-10,68
1,2021-03-11,68
1,2021-03-12,69
1,2021-03-13,69
1,2021-03-14,73
1,2021-03-15,73
1,2021-03-16,75
1,2021-03-17,66
1,2021-03-18,66
1,2021-03-19,67
1,2021-03-20,67
1,2021-03-21,74
1,2021-03-22,71
1,2021-03-23,67
1,2021-03-24,66
1,2021-03-25,63
1,2021-03-26,58
1,2021-03-27,65
1,2021-03-28,67
1,2021-03-29,63
1,2021-03-30,59
1,2021-03-31,59
1,2021-04-01,59
1,2021-04-02,62
1,2021-04-03,62
1,2021-04-04,62
1,2021-04-05,83
1,2021-04-06,82
1,2021-04-07,75
1,2021-04-08,75
1,2021-04-09,76
1,2021-04-10,76
1,2021-04-11,85
1,2021-04-12,83
1,2021-04-13,91
1,2021-04-14,89
1,2021-04-15,93
1,2021-04-16,95
1,2021-04-17,95
1,2021-04-18,105
1,2021-04-19,108
1,2021-04-20,109
1,2021-04-21,104
1,2021-04-22,106
1,2021-04-23,97
1,2021-04-24,97
1,2021-04-25,106
1,2021-04-26,100
1,2021-04-27,96
1,2021-04-28,102
1,2021-04-29,106
1,2021-04-30,106
1,2021-05-01,106
1,2021-05-02,104
1,2021-05-03,107
1,2021-05-04,105
1,2021-05-05,96
1,2021-05-06,94
1,2021-05-07,96
1,2021-05-08,96
1,2021-05-09,107
2,2020-08-19,27
2,2020-08-20,27
2,2020-08-21,30
2,2020-08-22,30
2,2020-08-23,39
2,2020-08-24,39
2,2020-08-25,46
2,2020-08-26,46
2,2020-08-27,45
2,2020-08-28,49
2,2020-08-29,50
2,2020-08-30,51
2,2020-08-31,62
2,2020-09-01,58
2,2020-09-02,61
2,2020-09-03,66
2,2020-09-04,57
2,2020-09-05,59
2,2020-09-06,60
2,2020-09-07,62
2,2020-09-08,72
2,2020-09-09,68
2,2020-09-10,73
2,2020-09-11,67
2,2020-09-12,67
2,2020-09-13,71
2,2020-09-14,72
2,2020-09-15,74
2,2020-09-16,79
2,2020-09-17,67
2,2020-09-18,61
2,2020-09-19,61
2,2020-09-20,70
2,2020-09-21,73
2,2020-09-22,69
2,2020-09-23,66
2,2020-09-24,66
2,2020-09-25,19
2,2020-09-26,20
2,2020-09-27,68
2,2020-09-28,62
2,2020-09-29,61
2,2020-09-30,60
2,2020-10-01,58
2,2020-10-02,52
2,2020-10-03,52
2,2020-10-04,67
2,2020-10-05,62
2,2020-10-06,62
2,2020-10-07,53
2,2020-10-08,55
2,2020-10-09,54
2,2020-10-10,54
2,2020-10-11,54
2,2020-10-12,67
2,2020-10-13,73
2,2020-10-14,76
2,2020-10-15,70
2,2020-10-16,65
2,2020-10-17,65
2,2020-10-18,77
2,2020-10-19,86
2,2020-10-20,80
2,2020-10-21,83
2,2020-10-22,84
2,2020-10-23,77
2,2020-10-24,79
2,2020-10-25,93
2,2020-10-26,96
2,2020-10-27,108
2,2020-10-28,111
2,2020-10-29,123
2,2020-10-30,132
2,2020-10-31,138
2,2020-11-01,139
2,2020-11-02,131
2,2020-11-03,140
2,2020-11-04,145
2,2020-11-05,149
2,2020-11-06,148
2,2020-11-07,151
2,2020-11-08,157
2,2020-11-09,159
2,2020-11-10,165
2,2020-11-11,164
2,2020-11-12,159
2,2020-11-13,151
2,2020-11-14,154
2,2020-11-15,166
2,2020-11-16,174
2,2020-11-17,163
2,2020-11-18,150
2,2020-11-19,148
2,2020-11-20,131
2,2020-11-21,129
2,2020-11-22,124
2,2020-11-23,122
2,2020-11-24,125
2,2020-11-25,113
2,2020-11-26,108
2,2020-11-27,99
2,2020-11-28,102
2,2020-11-29,110
2,2020-11-30,104
2,2020-12-01,105
2,2020-12-02,106
2,2020-12-03,104
2,2020-12-04,100
2,2020-12-05,106
2,2020-12-06,115
2,2020-12-07,109
2,2020-12-08,109
2,2020-12-09,105
2,2020-12-10,96
2,2020-12-11,95
2,2020-12-12,110
2,2020-12-13,112
2,2020-12-14,101
2,2020-12-15,105
2,2020-12-16,102
2,2020-12-17,94
2,2020-12-18,84
2,2020-12-19,88
2,2020-12-20,92
2,2020-12-21,100
2,2020-12-22,93
2,2020-12-23,74
2,2020-12-24,79
2,2020-12-25,83
2,2020-12-26,84
